title,provider,tags,date_range,description,bands,terms_of_use,snippet,spatial_coverage,temporal_coverage,citation,type,region,source_url,extraction_report,confidence,ml_classification,validation_results,ensemble_features
RESOLVE Ecoregions 2017  |  Earth Engine Data Catalog  |  Google for Developers,RESOLVE Biodiversity and Wildlife Solutions,"['Gis Stack Exchange', 'Medium', 'Resolve', 'Videos', 'Habitats', 'Twitter', 'Protection', 'Table', 'Ecoregions', 'Global', 'Ecosystems', 'Biodiversity', 'Biodiversity\nConservation\nEcoregions\nEcosystems\nGlobal\nTable\nHabitats\nProtection\nResolve', 'Conservation', 'Github']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/catalog/RESOLVE_ECOREGIONS_2017,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9, 'provider': 0.8}","{'spacy_entities': {'DATE': ['2017'], 'ORG': ['Earth Engine Data Catalog', 'Google for Developers\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n      \n      Skip', 'Deutsch\n\n\nEspañol\n\n\nEspañol – América Latina\n\n\nFrançais', 'Italiano\n\n\nPolski\n\n\nPortuguês', 'Türkçe'], 'NORP': ['English'], 'GPE': ['Indonesia', 'বাংলা'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All'], 'PERSON': ['Landsat\n   \n\n\n\n\n\n\n\n      MODIS\n   \n\n\n\n\n\n      Sentinel']}, 'title_entities': [('2017', 'DATE'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')], 'bert_classification': [{'label': 'LABEL_1', 'score': 0.5342450141906738}]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'geocoded_location': {'name': 'Google', 'coordinates': (42.35092, -71.0783603)}}}, 'temporal': {'valid': True, 'errors': [], 'enriched': {'temporal_references': ['2017'], 'fuzzy_dates': ['2017-07-15']}}, 'quality': {'valid': True, 'score': 90, 'errors': [], 'enriched': {'quality_score': 90}}}","{'tfidf_features': 9, 'text_length': 79}"
Datasets tagged lance in Earth Engine  |  Earth Engine Data Catalog  |  Google for Developers,Management System,"['Gis Stack Exchange', 'Medium', 'Videos', 'Twitter', 'Lance', 'Github', 'Eosdis', 'Firms', 'Geophysical', 'Hotspot', 'Fire']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/tags/lance,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9, 'provider': 0.8}","{'spacy_entities': {'LOC': ['Earth Engine'], 'ORG': ['Earth Engine Data Catalog', 'Deutsch\n\n\nEspañol\n\n\nEspañol – América Latina\n\n\nFrançais', 'Italiano\n\n\nPolski\n\n\nPortuguês', 'Türkçe'], 'NORP': ['English'], 'GPE': ['Indonesia', 'বাংলা'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n\n    Categories\n  \n    \n\n\n\n    All'], 'PERSON': ['Landsat\n   \n\n\n\n\n\n\n\n      MODIS\n   \n\n\n\n\n\n      Se']}, 'title_entities': [('Earth Engine', 'LOC'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')], 'bert_classification': [{'label': 'LABEL_1', 'score': 0.5231536030769348}]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'geocoded_location': {'name': 'Google', 'coordinates': (42.35092, -71.0783603)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 90, 'errors': [], 'enriched': {'quality_score': 90}}}","{'tfidf_features': 9, 'text_length': 93}"
NOAA NHC HURDAT2 Atlantic Hurricane Catalog  |  Earth Engine Data Catalog  |  Google for Developers,NOAA NHC,"['Gis Stack Exchange', 'Medium', 'Videos', 'Twitter', 'Weather', 'Hurricane', 'Table', 'Nhc', 'Climate', 'Noaa', 'Climate\nHurricane\nNhc\nNoaa\nTable\nWeather', 'Github']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/catalog/NOAA_NHC_HURDAT2_atlantic,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9, 'provider': 0.8}","{'spacy_entities': {'ORG': ['NHC HURDAT2 Atlantic Hurricane Catalog', 'Earth Engine Data Catalog', 'Google for Developers\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n      \n      Skip', 'Deutsch\n\n\nEspañol\n\n\nFrançais'], 'NORP': ['English'], 'GPE': ['Indonesia'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All'], 'PERSON': ['Landsat\n   \n\n\n\n\n\n\n\n      MODIS\n   \n\n\n\n\n\n      ']}, 'title_entities': [('NOAA NHC HURDAT2 Atlantic Hurricane Catalog', 'ORG'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')], 'bert_classification': [{'label': 'LABEL_1', 'score': 0.5369263291358948}]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'geocoded_location': {'name': 'Google', 'coordinates': (42.35092, -71.0783603)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 90, 'errors': [], 'enriched': {'quality_score': 90}}}","{'tfidf_features': 11, 'text_length': 99}"
"Global PALSAR-2/PALSAR Yearly Mosaic, version 1  |  Earth Engine Data Catalog  |  Google for Developers",JAXA EORC,"['Gis Stack Exchange', 'Medium', 'Alos2', 'Videos', 'Palsar2', 'Twitter', 'Alos\nAlos2\nEroc\nJaxa\nPalsar\nPalsar2\nSar\nSatellite-Imagery', 'Palsar', 'Eroc', 'Sar', 'Satellite-Imagery', 'Alos', 'Jaxa', 'Github']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/catalog/JAXA_ALOS_PALSAR_YEARLY_SAR,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9, 'provider': 0.8}","{'spacy_entities': {'PERSON': ['Global PALSAR-2', 'Yearly Mosaic', 'Landsat\n   \n\n\n\n\n\n\n\n      MODIS'], 'CARDINAL': ['1'], 'ORG': ['Earth Engine Data Catalog', 'Google for Developers\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n      \n      Skip', 'Deutsch\n\n\nEspañol\n\n\nEspañol – América Latina\n\n\nFrançais', 'Italiano\n\n\nPolski\n\n\nPortuguês', 'Türkçe'], 'NORP': ['English'], 'GPE': ['Indonesia', 'বাংলা'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All']}, 'title_entities': [('Yearly Mosaic', 'PERSON'), ('1', 'CARDINAL'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')], 'bert_classification': [{'label': 'LABEL_1', 'score': 0.5328359603881836}]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'spatial_scope': 'global', 'geocoded_location': {'name': 'Global', 'coordinates': (55.702215, 12.5592485)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 90, 'errors': [], 'enriched': {'quality_score': 90}}}","{'tfidf_features': 11, 'text_length': 103}"
Estonia mono orthophotos  |  Earth Engine Data Catalog  |  Google for Developers,Estonia orthophotos,"['Gis Stack Exchange', 'Videos', 'Orthophotos', 'Twitter', 'Github', 'Estonia\nOrthophotos', 'Estonia', 'Medium']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/catalog/Estonia_Maamet_orthos_mono,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9, 'provider': 0.8}","{'spacy_entities': {'GPE': ['Estonia', 'Indonesia', 'বাংলা'], 'ORG': ['Earth Engine Data Catalog', 'Google for Developers\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n      \n      Skip', 'Deutsch\n\n\nEspañol\n\n\nEspañol – América Latina\n\n\nFrançais', 'Italiano\n\n\nPolski\n\n\nPortuguês', 'Türkçe'], 'NORP': ['English'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All'], 'PERSON': ['Landsat\n   \n\n\n\n\n\n\n\n      MODIS\n   \n\n\n\n\n\n      ']}, 'title_entities': [('Estonia', 'GPE'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')], 'bert_classification': [{'label': 'LABEL_1', 'score': 0.5332422852516174}]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'geocoded_location': {'name': 'Estonia', 'coordinates': (58.7523778, 25.3319078)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 90, 'errors': [], 'enriched': {'quality_score': 90}}}","{'tfidf_features': 9, 'text_length': 80}"
OpenLandMap Soil Texture Class (USDA System)  |  Earth Engine Data Catalog  |  Google for Developers,EnvirometriX Ltd,"['Gis Stack Exchange', 'Medium', 'Videos', 'Twitter', 'Github', 'Soil', 'Envirometrix', 'Envirometrix\nOpengeohub\nOpenlandmap\nSoil\nUsda\nTexture', 'Usda', 'Opengeohub', 'Openlandmap', 'Texture']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/catalog/OpenLandMap_SOL_SOL_TEXTURE-CLASS_USDA-TT_M_v02,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9, 'provider': 0.8}","{'spacy_entities': {'ORG': ['USDA System', 'Earth Engine Data Catalog', 'Google for Developers\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n      \n      Skip', 'Deutsch\n\n\nEspañol\n\n\nEspañol – América Latina\n\n\nFrançais', 'Italiano\n\n\nPolski\n\n\nPortuguês', 'Türkçe', 'Landsat\n   \n\n\n\n\n\n\n\n      MODIS'], 'NORP': ['English'], 'GPE': ['Indonesia', 'বাংলা'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All']}, 'title_entities': [('USDA System', 'ORG'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')], 'bert_classification': [{'label': 'LABEL_1', 'score': 0.53067946434021}]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'geocoded_location': {'name': 'System', 'coordinates': (37.5289111, 126.873831)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 90, 'errors': [], 'enriched': {'quality_score': 90}}}","{'tfidf_features': 11, 'text_length': 100}"
SPL4SMGP.007 SMAP L4 Global 3-hourly 9-km Surface and Root Zone Soil Moisture  |  Earth Engine Data Catalog  |  Google for Developers,Google and NSIDC,"['Gis Stack Exchange', 'Medium', 'Videos', 'Twitter', 'Weather', 'Smap', 'Soil-Moisture', 'Drought', 'Surface', 'Soil', 'Github', 'Drought\nNasa\nSmap\nSoil\nSoil-Moisture\nSurface\nWeather', 'Nasa']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/catalog/NASA_SMAP_SPL4SMGP_007,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9, 'provider': 0.8}","{'spacy_entities': {'QUANTITY': ['9-km'], 'LOC': ['Surface'], 'PERSON': ['Root Zone Soil Moisture', 'Landsat\n   \n\n\n\n\n\n\n\n      MODIS\n   \n\n\n\n\n\n      '], 'ORG': ['Earth Engine Data Catalog', 'Google for Developers\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n      \n      Skip', 'Deutsch\n\n\nEspañol\n\n\nFrançais'], 'NORP': ['English'], 'GPE': ['Indonesia'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All']}, 'title_entities': [('9-km', 'QUANTITY'), ('Surface', 'LOC'), ('Root Zone', 'PERSON'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')], 'bert_classification': [{'label': 'LABEL_1', 'score': 0.5404312610626221}]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'spatial_scope': 'global', 'geocoded_location': {'name': 'Global', 'coordinates': (55.702215, 12.5592485)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 90, 'errors': [], 'enriched': {'quality_score': 90}}}","{'tfidf_features': 18, 'text_length': 133}"
WAPOR Daily Reference Evapotranspiration 3.0  |  Earth Engine Data Catalog  |  Google for Developers,FAO UN,"['Gis Stack Exchange', 'Medium', 'Water', 'Videos', 'Agriculture\nFao\nWapor\nWater\nWater-Vapor', 'Twitter', 'Wapor', 'Water-Vapor', 'Fao', 'Agriculture', 'Github']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/catalog/FAO_WAPOR_3_L1_RET-E,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9, 'provider': 0.8}","{'spacy_entities': {'ORG': ['WAPOR Daily Reference Evapotranspiration', 'Earth Engine Data Catalog', 'Google for Developers\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n      \n      Skip', 'Deutsch\n\n\nEspañol\n\n\nFrançais'], 'NORP': ['English'], 'GPE': ['Indonesia'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All'], 'PERSON': ['Landsat\n   \n\n\n\n\n\n\n\n      MODIS\n   \n\n\n\n\n\n      ']}, 'title_entities': [('WAPOR Daily Reference Evapotranspiration', 'ORG'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')], 'bert_classification': [{'label': 'LABEL_1', 'score': 0.5324087738990784}]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'geocoded_location': {'name': 'Google', 'coordinates': (42.35092, -71.0783603)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 90, 'errors': [], 'enriched': {'quality_score': 90}}}","{'tfidf_features': 10, 'text_length': 100}"
Copernicus DEM GLO-30: Global 30m Digital Elevation Model  |  Earth Engine Data Catalog  |  Google for Developers,Copernicus,"['Gis Stack Exchange', 'Copernicus', 'Dem', 'Medium', 'Videos', 'Elevation', 'Twitter', 'Elevation-Topography', 'Copernicus\nDem\nElevation\nElevation-Topography\nGeophysical', 'Geophysical', 'Github']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_DEM_GLO30,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9, 'provider': 0.8}","{'spacy_entities': {'PERSON': ['Copernicus DEM', 'Landsat\n   \n\n\n\n\n\n\n\n      MODIS\n   \n\n\n\n\n\n      '], 'CARDINAL': ['30'], 'ORG': ['Digital', 'Earth Engine Data Catalog', 'Google for Developers\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n      \n      Skip', 'Deutsch\n\n\nEspañol\n\n\nFrançais'], 'NORP': ['English'], 'GPE': ['Indonesia'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All']}, 'title_entities': [('30', 'CARDINAL'), ('Digital', 'ORG'), ('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')], 'bert_classification': [{'label': 'LABEL_1', 'score': 0.5363744497299194}]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'spatial_scope': 'global', 'geocoded_location': {'name': 'Copernicus', 'coordinates': (54.3624557, 18.6344026)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 90, 'errors': [], 'enriched': {'quality_score': 90}}}","{'tfidf_features': 15, 'text_length': 113}"
MERIT Hydro: Supplementary Visualization Layers  |  Earth Engine Data Catalog  |  Google for Developers,Dai Yamazaki (University of Tokyo),"['Merit', 'Dem', 'Hydrosheds', 'Medium', 'Dem\nElevation\nFlow-Direction\nHand\nHydrography\nHydrosheds\nMerit\nRiver-Width\nSurface-Ground-Water\nUpstream-Drainage-Area', 'Hydrography', 'Gis Stack Exchange', 'Videos', 'Elevation', 'Twitter', 'Upstream-Drainage-Area', 'River-Width', 'Flow-Direction', 'Hand', 'Surface-Ground-Water', 'Github']",,...,[],,,,,,,,https://developers.google.com/earth-engine/datasets/catalog/MERIT_Hydro_reduced_v1_0_1,{},"{'title': 1.0, 'description': 1.0, 'tags': 0.9, 'provider': 0.8}","{'spacy_entities': {'ORG': ['Earth Engine Data Catalog', 'Google for Developers\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n      \n      Skip', 'Deutsch\n\n\nEspañol\n\n\nEspañol – América Latina\n\n\nFrançais', 'Italiano\n\n\nPolski\n\n\nPortuguês', 'Türkçe'], 'NORP': ['English'], 'GPE': ['Indonesia', 'বাংলা'], 'WORK_OF_ART': ['Home\n  \n    \n\n\n    Categories\n  \n    \n\n\n    All'], 'PERSON': ['Landsat\n   \n\n\n\n\n\n\n\n      MODIS']}, 'title_entities': [('Earth Engine Data Catalog', 'ORG'), ('Google for Developers', 'ORG')], 'bert_classification': [{'label': 'LABEL_1', 'score': 0.5173935890197754}]}","{'spatial': {'valid': True, 'errors': [], 'enriched': {'geocoded_location': {'name': 'Hydro', 'coordinates': (55.8601411, -4.2852072)}}}, 'temporal': {'valid': False, 'errors': [], 'enriched': {}}, 'quality': {'valid': True, 'score': 90, 'errors': [], 'enriched': {'quality_score': 90}}}","{'tfidf_features': 11, 'text_length': 103}"
